species,n_grid_year_detections,n_blocks_detected,n_grids_detected,candidate_rank,selected_in_run
Locustella luteoventris,206,5,76,591,FALSE
Dicaeum cruentatum,206,5,50,592,FALSE
Charadrius veredus,203,4,88,593,FALSE
Grus japonensis,203,5,66,594,FALSE
Aquila fasciata,202,5,104,595,FALSE
Phylloscopus valentini,202,4,88,596,FALSE
Bucanetes mongolicus,201,5,95,597,FALSE
Anthus gustavi,201,5,72,598,FALSE
Yuhina occipitalis,201,5,50,599,FALSE
Aethopyga saturata,201,5,44,600,FALSE
Larvivora cyane,199,4,107,601,FALSE
Crossoptilon crossoptilon,199,5,46,602,FALSE
Locustella mandelli,198,5,82,603,FALSE
Elachura formosa,198,4,58,604,FALSE
Micropternus brachyurus,198,5,57,605,FALSE
Erythrogenys swinhoei,197,4,87,606,FALSE
Larus cachinnans,197,4,78,607,FALSE
Certhia himalayana,197,5,59,608,FALSE
Aquila heliaca,196,5,104,609,FALSE
Pelecanus crispus,196,5,73,610,FALSE
Accipiter badius,196,5,72,611,FALSE
Podiceps auritus,195,5,90,612,FALSE
Artamus fuscus,194,5,61,613,FALSE
Motacilla flava,191,5,73,614,FALSE
Machlolophus spilonotus,191,4,66,615,FALSE
Fulvetta striaticollis,191,5,46,616,FALSE
Ixobrychus flavicollis,190,4,91,617,FALSE
Alcippe fratercula,190,5,40,618,FALSE
Spizixos canifrons,190,5,35,619,FALSE
Arachnothera magna,189,5,38,620,FALSE
Cephalopyrus flammiceps,188,5,57,621,FALSE
Podoces hendersoni,187,5,88,622,FALSE
Merops apiaster,187,5,57,623,FALSE
Pycnonotus cafer,187,5,38,624,FALSE
Alophoixus pallidus,187,5,33,625,FALSE
Otis tarda,186,5,75,626,FALSE
Anthus campestris,185,5,61,627,FALSE
Tarsiger indicus,185,5,59,628,FALSE
Ficedula hyperythra,184,5,63,629,FALSE
Tringa guttifer,184,4,57,630,FALSE
Buteo buteo,183,5,79,631,FALSE
Linaria cannabina,183,5,62,632,FALSE
Schoeniparus brunneus,182,3,99,633,FALSE
Chrysolophus amherstiae,181,5,47,634,FALSE
Thalasseus bergii,180,5,49,635,FALSE
Aethopyga siparaja,180,5,46,636,FALSE
Pastor roseus,179,5,73,637,FALSE
Francolinus pintadeanus,179,5,71,638,FALSE
Locustella davidi,178,5,69,639,FALSE
Merops philippinus,178,5,51,640,FALSE
Procarduelis nipalensis,178,5,51,641,FALSE
Locustella thoracica,178,5,50,642,FALSE
Gallicrex cinerea,177,5,100,643,FALSE
Cypsiurus balasiensis,177,5,39,644,FALSE
Charadrius atrifrons,176,3,101,645,FALSE
Sitta przewalskii,176,5,43,646,FALSE
Lanius giganteus,175,5,68,647,FALSE
Luscinia megarhynchos,175,5,52,648,FALSE
Phylloscopus collybita,174,4,85,649,FALSE
Columba oenas,174,5,69,650,FALSE
Acanthis flammea,173,4,103,651,FALSE
Ianthocincla maxima,173,3,64,652,FALSE
Terpsiphone atrocaudata,173,3,56,653,FALSE
Yuhina flavicollis,173,5,42,654,FALSE
Calcarius lapponicus,172,5,83,655,FALSE
Pyrrhula nipalensis,172,5,65,656,FALSE
Helopsaltes certhiola,171,3,107,657,FALSE
Carpodacus davidianus,171,5,63,658,FALSE
Ficedula elisae,170,5,56,659,FALSE
Hemipus picatus,170,5,38,660,FALSE
Prinia rufescens,165,5,57,661,FALSE
Crossoptilon auritum,165,5,41,662,FALSE
Zoothera dixoni,164,5,47,663,FALSE
Dendrocopos darjellensis,164,5,40,664,FALSE
Treron sphenurus,162,5,46,665,FALSE
Spinus thibetanus,161,5,45,666,FALSE
Mycerobas affinis,161,5,41,667,FALSE
Carpodacus trifasciatus,160,5,39,668,FALSE
Aviceda jerdoni,159,4,71,669,FALSE
Anthus trivialis,159,4,65,670,FALSE
Macropygia unchall,159,5,52,671,FALSE
Luscinia phaenicuroides,158,4,70,672,FALSE
Cyornis glaucicomans,156,5,58,673,FALSE
Pyrrhula pyrrhula,155,4,86,674,FALSE
Muscicapa striata,155,5,53,675,FALSE
Lanius collurioides,155,5,51,676,FALSE
Tephrodornis virgatus,155,5,46,677,FALSE
Copsychus malabaricus,155,5,39,678,FALSE
Pericrocotus roseus,154,5,50,679,FALSE
Phylloscopus tephrocephalus,152,3,82,680,FALSE
Strix leptogrammica,152,4,58,681,FALSE
Sitta frontalis,152,5,33,682,FALSE
Zapornia fusca,151,5,104,683,FALSE
Arborophila gingica,151,5,44,684,FALSE
Abroscopus superciliaris,150,5,37,685,FALSE
Dryobates minor,149,4,73,686,FALSE
Turdus maximus,149,5,60,687,FALSE
Melanocorypha mongolica,148,3,87,688,FALSE
Carpodacus puniceus,148,5,65,689,FALSE
Sterna sumatrana,148,5,47,690,FALSE
Phylloscopus intensior,148,5,45,691,FALSE
Picoides tridactylus,147,5,54,692,FALSE
Acrocephalus arundinaceus,147,5,49,693,FALSE
Oriolus traillii,147,5,35,694,FALSE
Suthora verreauxi,145,5,39,695,FALSE
Melanochlora sultanea,145,5,31,696,FALSE
Curruca curruca,144,3,84,697,FALSE
Saxicola caprata,144,5,37,698,FALSE
Leucogeranus leucogeranus,143,4,70,699,FALSE
Dendrocopos leucopterus,143,5,58,700,FALSE
Neosuthora davidiana,143,5,45,701,FALSE
Calidris pygmaea,143,5,35,702,FALSE
Serinus pusillus,141,5,62,703,FALSE
Acrocephalus agricola,139,5,58,704,FALSE
Calliope tschebaiewi,139,5,48,705,FALSE
Cecropis striolata,139,5,48,706,FALSE
Ficedula westermanni,139,5,41,707,FALSE
Sinosuthora conspicillata,139,5,41,708,FALSE
Alectoris magna,139,5,36,709,FALSE
Onychoprion anaethetus,138,5,38,710,FALSE
Anthus rufulus,137,5,63,711,FALSE
Cettia brunnifrons,137,5,46,712,FALSE
Phoenicurus erythronotus,136,5,66,713,FALSE
Trochalopteron henrici,136,5,40,714,FALSE
Charadrius dealbatus,134,3,66,715,FALSE
Phalacrocorax capillatus,134,4,52,716,FALSE
Gallus gallus,134,5,44,717,FALSE
Egretta sacra,134,5,41,718,FALSE
Pnoepyga albiventer,134,5,28,719,FALSE
Pterorhinus chinensis,131,4,45,720,FALSE
Circaetus gallicus,130,5,66,721,FALSE
Tesia cyaniventer,129,5,36,722,FALSE
Aethopyga nipalensis,128,5,36,723,FALSE
Melanitta stejnegeri,127,5,61,724,FALSE
Turdus chrysolaus,127,5,52,725,FALSE
Phoenicurus alaschanicus,126,5,42,726,FALSE
Sasia ochracea,126,4,36,727,FALSE
Curruca communis,125,3,55,728,FALSE
Pterorhinus berthemyi,125,4,53,729,FALSE
Coracina macei,125,5,48,730,FALSE
Abroscopus schisticeps,125,5,31,731,FALSE
Phylloscopus soror,124,3,62,732,FALSE
Urocynchramus pylzowi,123,5,42,733,FALSE
Conostoma aemodium,123,5,24,734,FALSE
Niltava grandis,122,5,31,735,FALSE
Phyllergates cucullatus,121,3,46,736,FALSE
Carpodacus subhimachalus,121,5,44,737,FALSE
Syrmaticus ellioti,121,5,44,738,FALSE
Phylloscopus emeiensis,120,5,36,739,FALSE
Lanius excubitor,119,5,62,740,FALSE
Emberiza bruniceps,119,5,48,741,FALSE
Certhia tianquanensis,118,5,26,742,FALSE
Turnix tanki,117,5,64,743,FALSE
Ixobrychus minutus,117,4,41,744,FALSE
Riparia chinensis,117,5,30,745,FALSE
Stachyris nigriceps,117,5,21,746,FALSE
Psarisomus dalhousiae,117,5,20,747,FALSE
Lanius borealis,116,4,68,748,FALSE
Dicaeum melanozanthum,115,5,45,749,FALSE
Lanius collurio,115,5,44,750,FALSE
Staphida castaniceps,115,5,34,751,FALSE
Nyctyornis athertoni,115,5,24,752,FALSE
Fulvetta manipurensis,114,5,33,753,FALSE
Treron sieboldii,113,4,54,754,FALSE
Psilopogon franklinii,113,5,28,755,FALSE
Trochalopteron milnei,113,5,25,756,FALSE
Ianthocincla lunulata,112,5,32,757,FALSE
Turdus feae,112,5,28,758,FALSE
Rallus aquaticus,111,4,64,759,FALSE
Phylloscopus intermedius,111,3,55,760,FALSE
Acrocephalus dumetorum,111,4,45,761,FALSE
Ianthocincla ocellata,111,2,38,762,FALSE
Ianthocincla cineracea,110,3,60,763,FALSE
Larus schistisagus,109,5,55,764,FALSE
Phoenicurus phoenicurus,109,4,48,765,FALSE
Streptopelia turtur,109,5,45,766,FALSE
Sturnia malabarica,109,5,37,767,FALSE
Carpodacus verreauxii,109,5,36,768,FALSE
Hemixos flavala,108,4,18,769,FALSE
Pitta nympha,107,3,56,770,FALSE
Emberiza cia,107,5,55,771,FALSE
Tyto longimembris,107,5,48,772,FALSE
Grandala coelicolor,107,5,42,773,FALSE
Pterorhinus albogularis,107,3,42,774,FALSE
Carpodacus edwardsii,107,5,31,775,FALSE
Ficedula parva,106,5,50,776,FALSE
Sitta himalayensis,106,5,34,777,FALSE
Poecile davidi,106,5,26,778,FALSE
Circus aeruginosus,105,5,63,779,FALSE
Sterna dougallii,105,5,35,780,FALSE
Sitta yunnanensis,104,5,34,781,FALSE
Carpodacus lepidus,103,3,59,782,FALSE
Emberiza buchanani,103,5,44,783,FALSE
Cyanoptila cumatilis,103,4,43,784,FALSE
Phylloscopus borealoides,103,3,41,785,FALSE
Cisticola exilis,102,4,49,786,FALSE
Zoothera dauma,102,5,46,787,FALSE
Locustella chengi,102,5,32,788,FALSE
Turdus albocinctus,102,5,30,789,FALSE
Urocissa flavirostris,102,5,30,790,FALSE
Pteruthius melanotis,102,5,26,791,FALSE
Chrysococcyx maculatus,101,4,44,792,FALSE
Iduna caligata,101,5,42,793,FALSE
Lanius minor,101,5,38,794,FALSE
Clangula hyemalis,100,5,59,795,FALSE
Aethopyga ignicauda,100,5,30,796,FALSE
Trochalopteron formosum,100,5,18,797,FALSE
Remiz coronatus,99,5,44,798,FALSE
Zoothera mollissima,99,5,32,799,FALSE
Cinnyris jugularis,99,4,29,800,FALSE
Tetrastes sewerzowi,99,5,24,801,FALSE
Chrysophlegma flavinucha,99,5,21,802,FALSE
Actinodura egertoni,99,5,15,803,FALSE
Tragopan caboti,98,5,27,804,FALSE
Pycnonotus flavescens,98,5,18,805,FALSE
Zapornia pusilla,97,3,58,806,FALSE
Cyornis brunneatus,97,3,52,807,FALSE
Prunella atrogularis,97,4,47,808,FALSE
Limnodromus scolopaceus,97,4,43,809,FALSE
Picus chlorolophus,96,5,18,810,FALSE
Thalasseus bernsteini,94,4,25,811,FALSE
Porphyrio porphyrio,94,5,21,812,FALSE
Plegadis falcinellus,93,4,70,813,FALSE
Gallinago solitaria,92,5,51,814,FALSE
Passer hispaniolensis,92,5,49,815,FALSE
Corvus monedula,92,2,47,816,FALSE
Cyornis unicolor,92,5,36,817,FALSE
Caprimulgus affinis,91,4,37,818,FALSE
Oriolus oriolus,91,4,37,819,FALSE
Emberiza sulphurata,91,4,28,820,FALSE
Spilopelia senegalensis,90,5,41,821,FALSE
Phylloscopus examinandus,90,3,37,822,FALSE
Emberiza hortulana,90,4,34,823,FALSE
Turdus pilaris,90,4,32,824,FALSE
Cettia major,90,5,29,825,FALSE
Pyrgilauda davidiana,90,5,23,826,FALSE
Dicrurus paradiseus,90,5,18,827,FALSE
Curruca minula,89,2,59,828,FALSE
Psilopogon haemacephalus,89,5,15,829,FALSE
Acrocephalus concinens,88,4,58,830,FALSE
Haliaeetus leucoryphus,88,5,47,831,FALSE
Chlidonias niger,88,5,36,832,FALSE
Dicrurus annectens,88,5,28,833,FALSE
Dicrurus remifer,88,4,17,834,FALSE
Caprimulgus europaeus,87,5,40,835,FALSE
Timalia pileata,87,4,27,836,FALSE
Carpodacus roborowskii,85,5,27,837,FALSE
Cholornis unicolor,85,5,22,838,FALSE
Suthora fulvifrons,85,5,22,839,FALSE
Pellorneum ruficeps,85,5,14,840,FALSE
Rallina eurizonoides,84,3,52,841,FALSE
Phylloscopus chloronotus,84,5,34,842,FALSE
Delichon nipalense,84,5,26,843,FALSE
Tetraophasis obscurus,84,5,21,844,FALSE
Heterophasia pulchella,84,5,19,845,FALSE
Tetrastes bonasia,83,5,43,846,FALSE
Nipponia nippon,83,5,23,847,FALSE
Tetraophasis szechenyii,83,5,22,848,FALSE
Aegithina tiphia,83,5,14,849,FALSE
Locustella tacsanowskia,82,5,44,850,FALSE
Mycerobas melanozanthos,82,5,35,851,FALSE
Phaenicophaeus tristis,82,4,28,852,FALSE
Serilophus lunatus,82,5,14,853,FALSE
Calonectris leucomelas,81,5,41,854,FALSE
Phylloscopus fuligiventer,81,5,28,855,FALSE
Rissa tridactyla,80,4,49,856,FALSE
Otus scops,80,4,29,857,FALSE
Carpodacus thura,80,5,28,858,FALSE
